participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.rating1,player.faceid,player.TPrating,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,54,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,54,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,55,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,55,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,56,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,56,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,57,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,57,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,58,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,58,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,59,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,59,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,60,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,60,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,61,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,61,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,62,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,62,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,63,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,63,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,64,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,64,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,65,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,65,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,66,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,66,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,67,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,67,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,68,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,68,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,69,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,69,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,70,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,70,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,71,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,71,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,72,zv8vda12,,,,,,1
