"","FaceID","ID","Participant","FirstRating","GroupRating","SecondRating","Feedback","Change","TimeStamp1","TimeStamp2"
"111",12,"wtf",11,4,0,4,NA,0,2020-05-12 15:38:57,2020-05-12 18:48:25
"112",13,"17",86,5,3,4,-2,-1,2020-05-11 14:33:33,2020-05-12 06:46:41
"113",13,"1879",95,3,6,2,3,-1,2020-05-12 08:11:44,2020-05-12 12:42:31
"114",13,"1918",27,4,6,4,2,0,2020-05-08 09:59:25,2020-05-09 07:13:50
"115",13,"2205",84,4,4,4,0,0,2020-05-11 13:59:46,2020-05-12 06:45:37
"116",13,"4520",1,3,3,3,0,0,2020-05-07 13:26:05,2020-05-07 18:11:06
"117",13,"45bites",9,5,7,4,2,-1,2020-05-12 14:19:49,2020-05-12 17:32:36
"118",13,"6107",12,2,2,2,0,0,2020-05-12 16:03:37,2020-05-12 17:33:36
"119",13,"9696",55,2,2,2,0,0,2020-05-10 12:43:53,2020-05-10 18:25:33
"120",13,"andrea",61,6,4,2,-2,-4,2020-05-11 10:19:49,2020-05-12 08:34:56
"121",13,"Asad",33,5,5,3,0,-2,2020-05-13 20:10:11,2020-05-13 21:28:24
"122",13,"ASDF1234",70,3,5,3,2,0,2020-05-11 10:49:57,2020-05-11 11:54:38
"123",13,"Astrid",38,2,5,4,3,2,2020-05-08 12:53:19,2020-05-09 13:27:16
"124",13,"Bøllemis",71,7,5,7,-2,0,2020-05-11 11:03:38,2020-05-11 12:05:46
"125",13,"Carmesin",45,4,2,4,-2,0,2020-05-08 17:09:27,2020-05-10 01:58:32
"126",13,"Christian Jacobsen",16,3,1,3,-2,0,2020-05-07 17:23:10,2020-05-07 18:17:29
"127",13,"GOAT",44,2,5,2,3,0,2020-05-08 16:45:39,2020-05-08 18:12:03
"128",13,"Grandmasterflash",81,6,3,4,-3,-2,2020-05-11 12:35:37,2020-05-12 22:27:46
"129",13,"havegang7",36,5,3,6,-2,1,2020-05-08 12:04:55,2020-05-08 21:07:31
"130",13,"hejhejhund",52,3,1,3,-2,0,2020-05-09 14:09:32,2020-05-10 09:58:15
