"","FaceID","ID","FirstRating","GroupRating","SecondRating","Change","Feedback","Condition"
"379",2,"9696",2,2,2,0,0,"Peri"
"380",2,"andrea",5,7,7,2,2,"Peri"
"381",2,"Asad",5,7,2,-3,2,"Peri"
"382",2,"ASDF1234",6,4,6,0,-2,"Peri"
"383",2,"Astrid",2,0,2,0,NA,"Peri"
"384",2,"Bøllemis",7,4,7,0,-3,"Peri"
"385",2,"Carmesin",4,2,4,0,-2,"Peri"
"386",2,"Christian Jacobsen",6,6,5,-1,0,"Peri"
"387",2,"GOAT",4,0,5,1,NA,"Peri"
"388",2,"Grandmasterflash",6,6,5,-1,0,"Peri"
"389",2,"havegang7",5,3,7,2,-2,"Peri"
"390",2,"hejhejhund",7,0,7,0,NA,"Peri"
"391",2,"JakobBjerreKnudsen",4,4,4,0,0,"Peri"
"392",2,"Jesper",4,6,5,1,2,"Peri"
"393",2,"Johanne",7,4,6,-1,-3,"Peri"
"394",2,"Katrine",5,2,5,0,-3,"Peri"
"395",2,"lilla",5,3,6,1,-2,"Peri"
"396",2,"Llamaman",4,4,5,1,0,"Peri"
"397",2,"minime",8,5,6,-2,-3,"Peri"
"398",2,"Misterperc",4,0,5,1,NA,"Peri"
"399",2,"Moe",3,5,7,4,2,"Peri"
"400",2,"Python",4,4,4,0,0,"Peri"
"401",2,"RBJ",3,1,5,2,-2,"Peri"
"402",2,"Rensdyrlam",6,6,6,0,0,"Peri"
"403",2,"rosenmeier",5,2,5,0,-3,"Peri"
"404",2,"Sarah",4,4,5,1,0,"Peri"
"405",2,"SKJ",6,8,7,1,2,"Peri"
"406",2,"Slowlydying",8,8,8,0,0,"Peri"
"407",2,"SOJ",2,2,6,4,0,"Peri"
"408",2,"wtf",2,2,2,0,0,"Peri"
"409",20,"17",5,2,6,1,-3,"Peri"
"410",20,"1879",6,4,7,1,-2,"Peri"
"411",20,"1918",7,5,7,0,-2,"Peri"
"412",20,"2205",6,6,5,-1,0,"Peri"
"413",20,"4520",5,8,5,0,3,"Peri"
"414",20,"45bites",7,4,8,1,-3,"Peri"
"415",20,"6107",6,4,5,-1,-2,"Peri"
"416",20,"9696",7,7,6,-1,0,"Peri"
"417",20,"andrea",6,0,3,-3,NA,"Peri"
"418",20,"Asad",3,6,2,-1,3,"Peri"
