"","FaceID","ID","URL round 1.x","URL round 2.x","ParticipantN.x","Round.x","FirstRating","GroupRating","URL round 2.y","URL round 1.y","ParticipantN.y","Round.y","SecondRating","Feedback","Change"
"106",12,"Sarah","szp84fhk","uvpc88el",54,"sc_round1",4,6,"uvpc88el","szp84fhk",20,"sc_round2",5,2,1
"107",12,"SKJ","fwpmdfnx","csqlcfa3",10,"sc_round1",3,3,"csqlcfa3","fwpmdfnx",46,"sc_round2",4,0,1
"108",12,"Slowlydying","s9p5ckq6","v5ibxvij",31,"sc_round1",8,5,"v5ibxvij","s9p5ckq6",10,"sc_round2",5,-3,-3
"109",12,"SOJ","s1660bu2","gsnp1osd",79,"sc_round1",6,4,"gsnp1osd","s1660bu2",53,"sc_round2",3,-2,-3
"110",12,"The cat","j6tklmc7","ij6k2p1q",80,"sc_round1",8,5,"ij6k2p1q","j6tklmc7",40,"sc_round2",8,-3,0
"111",12,"wtf","zhw4p27n","8gnloax0",11,"sc_round1",4,0,"8gnloax0","zhw4p27n",52,"sc_round2",4,NA,0
"112",13,"17","sjaa659z","fzt0cp0a",86,"sc_round1",5,3,"fzt0cp0a","sjaa659z",36,"sc_round2",4,-2,-1
"113",13,"1879","pywjuver","ara1b058",95,"sc_round1",3,6,"ara1b058","pywjuver",39,"sc_round2",2,3,-1
"114",13,"1918","bieie7ao","5nmlzc2i",27,"sc_round1",4,6,"5nmlzc2i","bieie7ao",8,"sc_round2",4,2,0
"115",13,"2205","unfwcb90","wnjx49s1",84,"sc_round1",4,4,"wnjx49s1","unfwcb90",35,"sc_round2",4,0,0
"116",13,"4520","t3zc9soo","gm0b0k11",1,"sc_round1",3,3,"gm0b0k11","t3zc9soo",1,"sc_round2",3,0,0
"117",13,"45bites","g54qjb0l","36hprd2x",9,"sc_round1",5,7,"36hprd2x","g54qjb0l",48,"sc_round2",4,2,-1
"118",13,"6107","24vjo3ss","xxe6xzes",12,"sc_round1",2,2,"xxe6xzes","24vjo3ss",49,"sc_round2",2,0,0
"119",13,"9696","st6r8kfq","4v10zr69",55,"sc_round1",2,2,"4v10zr69","st6r8kfq",21,"sc_round2",2,0,0
"120",13,"andrea","lq0zamde","ia0rpy42",61,"sc_round1",6,4,"ia0rpy42","lq0zamde",37,"sc_round2",2,-2,-4
"121",13,"Asad","ktm1ojr2","e96jb6mr",33,"sc_round1",5,5,"e96jb6mr","ktm1ojr2",65,"sc_round2",3,0,-2
"122",13,"ASDF1234","dbfzbwq1","hsui8h86",70,"sc_round1",3,5,"hsui8h86","dbfzbwq1",23,"sc_round2",3,2,0
"123",13,"Astrid","zhqv6mcm","9700fvfg",38,"sc_round1",2,5,"9700fvfg","zhqv6mcm",13,"sc_round2",4,3,2
"124",13,"Bøllemis","t55pnknq","xolku9ti",71,"sc_round1",7,5,"xolku9ti","t55pnknq",25,"sc_round2",7,-2,0
"125",13,"Carmesin","hhvjjhod","wr6elhvg",45,"sc_round1",4,2,"wr6elhvg","hhvjjhod",16,"sc_round2",4,-2,0
"126",13,"Christian Jacobsen","p16vvjzi","9tnr4s3y",16,"sc_round1",3,1,"9tnr4s3y","p16vvjzi",2,"sc_round2",3,-2,0
"127",13,"GOAT","0nfe0k9c","ii2ca2a4",44,"sc_round1",2,5,"ii2ca2a4","0nfe0k9c",5,"sc_round2",2,3,0
"128",13,"Grandmasterflash","9ial3dvy","4wl0bfqz",81,"sc_round1",6,3,"4wl0bfqz","9ial3dvy",54,"sc_round2",4,-3,-2
"129",13,"havegang7","5ziimz34","14ho06cq",36,"sc_round1",5,3,"14ho06cq","5ziimz34",7,"sc_round2",6,-2,1
"130",13,"hejhejhund","3c7i3qeh","oug44nb6",52,"sc_round1",3,1,"oug44nb6","3c7i3qeh",19,"sc_round2",3,-2,0
"131",13,"JakobBjerreKnudsen","7896i7ka","6orxz59z",75,"sc_round1",4,0,"6orxz59z","7896i7ka",27,"sc_round2",5,NA,1
"132",13,"Jesper","4h1ska65","wltwxmba",82,"sc_round1",6,4,"wltwxmba","4h1ska65",30,"sc_round2",1,-2,-5
"133",13,"Johanne","mx0i74iq","dt6c67jl",32,"sc_round1",6,3,"dt6c67jl","mx0i74iq",64,"sc_round2",5,-3,-1
"134",13,"Katrine","ljefhi7s","v2mkys1q",76,"sc_round1",5,3,"v2mkys1q","ljefhi7s",34,"sc_round2",5,-2,0
"135",13,"lilla","g1zkj1et","jfke82qw",73,"sc_round1",5,7,"jfke82qw","g1zkj1et",26,"sc_round2",4,2,-1
"136",13,"Llamaman","yhpfe3ki","qr957mqd",74,"sc_round1",2,2,"qr957mqd","yhpfe3ki",38,"sc_round2",2,0,0
"137",13,"minime","fw1o7714","1qevmfei",97,"sc_round1",1,0,"1qevmfei","fw1o7714",57,"sc_round2",4,NA,3
"138",13,"Misterperc","eukb0tda","4d35wwdw",96,"sc_round1",7,5,"4d35wwdw","eukb0tda",42,"sc_round2",6,-2,-1
"139",13,"Moe","eem5hb8v","ks23jwvj",65,"sc_round1",3,5,"ks23jwvj","eem5hb8v",45,"sc_round2",4,2,1
"140",13,"Python","70icxtu0","7vzmcs48",69,"sc_round1",4,7,"7vzmcs48","70icxtu0",24,"sc_round2",2,3,-2
"141",13,"RBJ","nak8o392","11u16gtf",47,"sc_round1",1,1,"11u16gtf","nak8o392",11,"sc_round2",5,0,4
"142",13,"Rensdyrlam","n8969zl4","oen6qf4o",72,"sc_round1",2,2,"oen6qf4o","n8969zl4",28,"sc_round2",2,0,0
"143",13,"rosenmeier","pkf9fk1g","5969nxrd",31,"sc_round1",2,0,"5969nxrd","pkf9fk1g",58,"sc_round2",3,NA,1
"144",13,"Sarah","szp84fhk","uvpc88el",54,"sc_round1",3,1,"uvpc88el","szp84fhk",20,"sc_round2",6,-2,3
"145",13,"SKJ","fwpmdfnx","csqlcfa3",10,"sc_round1",2,5,"csqlcfa3","fwpmdfnx",46,"sc_round2",4,3,2
"146",13,"Slowlydying","s9p5ckq6","v5ibxvij",31,"sc_round1",3,1,"v5ibxvij","s9p5ckq6",10,"sc_round2",4,-2,1
"147",13,"SOJ","s1660bu2","gsnp1osd",79,"sc_round1",1,4,"gsnp1osd","s1660bu2",53,"sc_round2",2,3,1
"148",13,"wtf","zhw4p27n","8gnloax0",11,"sc_round1",2,0,"8gnloax0","zhw4p27n",52,"sc_round2",2,NA,0
