"FaceID","ID","URL round 1.x","URL round 2.x","ParticipantN.x","Round.x","FirstRating","GroupRating","URL round 2.y","URL round 1.y","ParticipantN.y","Round.y","SecondRating"
15,"6107","24vjo3ss","xxe6xzes",12,"sc_round1",5,2,"xxe6xzes","24vjo3ss",49,"sc_round2",5
15,"9696","st6r8kfq","4v10zr69",55,"sc_round1",4,6,"4v10zr69","st6r8kfq",21,"sc_round2",4
15,"andrea","lq0zamde","ia0rpy42",61,"sc_round1",6,3,"ia0rpy42","lq0zamde",37,"sc_round2",5
15,"Asad","ktm1ojr2","e96jb6mr",33,"sc_round1",4,7,"e96jb6mr","ktm1ojr2",65,"sc_round2",1
15,"ASDF1234","dbfzbwq1","hsui8h86",70,"sc_round1",5,8,"hsui8h86","dbfzbwq1",23,"sc_round2",4
15,"Astrid","zhqv6mcm","9700fvfg",38,"sc_round1",4,6,"9700fvfg","zhqv6mcm",13,"sc_round2",2
15,"Bøllemis","t55pnknq","xolku9ti",71,"sc_round1",7,4,"xolku9ti","t55pnknq",25,"sc_round2",7
15,"Carmesin","hhvjjhod","wr6elhvg",45,"sc_round1",4,4,"wr6elhvg","hhvjjhod",16,"sc_round2",5
15,"Christian Jacobsen","p16vvjzi","9tnr4s3y",16,"sc_round1",5,8,"9tnr4s3y","p16vvjzi",2,"sc_round2",4
15,"GOAT","0nfe0k9c","ii2ca2a4",44,"sc_round1",3,6,"ii2ca2a4","0nfe0k9c",5,"sc_round2",4
15,"Grandmasterflash","9ial3dvy","4wl0bfqz",81,"sc_round1",5,0,"4wl0bfqz","9ial3dvy",54,"sc_round2",4
15,"havegang7","5ziimz34","14ho06cq",36,"sc_round1",5,0,"14ho06cq","5ziimz34",7,"sc_round2",6
15,"hejhejhund","3c7i3qeh","oug44nb6",52,"sc_round1",6,6,"oug44nb6","3c7i3qeh",19,"sc_round2",4
15,"JakobBjerreKnudsen","7896i7ka","6orxz59z",75,"sc_round1",4,0,"6orxz59z","7896i7ka",27,"sc_round2",5
15,"Jesper","4h1ska65","wltwxmba",82,"sc_round1",2,2,"wltwxmba","4h1ska65",30,"sc_round2",2
15,"Johanne","mx0i74iq","dt6c67jl",32,"sc_round1",6,6,"dt6c67jl","mx0i74iq",64,"sc_round2",5
15,"Katrine","ljefhi7s","v2mkys1q",76,"sc_round1",5,0,"v2mkys1q","ljefhi7s",34,"sc_round2",6
15,"lilla","g1zkj1et","jfke82qw",73,"sc_round1",5,2,"jfke82qw","g1zkj1et",26,"sc_round2",4
