"","ID","FaceID","FirstRating","GroupRating","SecondRating","Feedback","Change","Condition"
"204",11,5,3,1,3,-2,0,"Pre"
"205",11,50,4,0,4,NA,0,"Pre"
"206",11,51,4,2,1,-2,-3,"Pre"
"207",11,52,2,4,2,2,0,"Pre"
"208",11,53,6,6,6,0,0,"Pre"
"209",11,54,4,4,7,0,3,"Pre"
"210",11,55,4,1,4,-3,0,"Pre"
"211",11,56,8,5,8,-3,0,"Pre"
"212",11,57,4,2,3,-2,-1,"Pre"
"213",11,58,2,2,2,0,0,"Pre"
"214",11,59,5,3,4,-2,-1,"Pre"
"215",11,6,1,3,2,2,1,"Pre"
"216",11,60,4,7,4,3,0,"Pre"
"217",11,61,6,6,6,0,0,"Pre"
"218",11,62,2,2,1,0,-1,"Pre"
"219",11,63,5,8,7,3,2,"Pre"
"220",11,64,2,2,5,0,3,"Pre"
"221",11,65,3,3,5,0,2,"Pre"
"222",11,66,2,5,5,3,3,"Pre"
"223",11,67,7,4,6,-3,-1,"Pre"
"224",11,68,2,4,3,2,1,"Pre"
"225",11,69,5,7,5,2,0,"Pre"
"226",11,7,4,0,2,NA,-2,"Pre"
"227",11,70,4,7,7,3,3,"Pre"
"228",11,71,4,4,8,0,4,"Pre"
"229",11,72,2,2,2,0,0,"Pre"
"230",11,73,5,3,3,-2,-2,"Pre"
"231",11,74,7,4,7,-3,0,"Pre"
"232",11,75,6,0,5,NA,-1,"Pre"
"233",11,76,4,4,6,0,2,"Pre"
"234",11,77,6,8,6,2,0,"Pre"
"235",11,78,2,5,3,3,1,"Pre"
"236",11,79,4,7,5,3,1,"Pre"
"237",11,8,4,2,7,-2,3,"Pre"
"238",11,80,6,6,6,0,0,"Pre"
"239",11,81,4,6,3,2,-1,"Pre"
"240",11,9,4,4,2,0,-2,"Pre"
"241",12,10,6,6,7,0,1,"Pre"
"242",12,11,3,1,4,-2,1,"Pre"
"243",12,12,4,0,3,NA,-1,"Pre"
"244",12,13,1,3,2,2,1,"Pre"
"245",12,14,4,1,3,-3,-1,"Pre"
"246",12,15,4,2,4,-2,0,"Pre"
"247",12,16,1,4,2,3,1,"Pre"
"248",12,17,5,2,3,-3,-2,"Pre"
"249",12,18,3,5,7,2,4,"Pre"
"250",12,19,8,8,7,0,-1,"Pre"
"251",12,2,6,8,5,2,-1,"Pre"
"252",12,20,7,5,8,-2,1,"Pre"
"253",12,21,2,4,2,2,0,"Pre"
"254",12,22,1,4,1,3,0,"Pre"
"255",12,23,6,0,5,NA,-1,"Pre"
"256",12,24,6,4,7,-2,1,"Pre"
"257",12,25,8,8,7,0,-1,"Pre"
"258",12,26,8,5,8,-3,0,"Pre"
"259",12,27,2,4,3,2,1,"Pre"
"260",12,28,6,6,7,0,1,"Pre"
"261",12,29,8,5,8,-3,0,"Pre"
"262",12,3,6,4,6,-2,0,"Pre"
"263",12,30,5,8,5,3,0,"Pre"
"264",12,31,3,6,1,3,-2,"Pre"
"265",12,32,5,2,5,-3,0,"Pre"
"266",12,33,2,0,3,NA,1,"Pre"
"267",12,34,3,5,3,2,0,"Pre"
"268",12,35,8,8,8,0,0,"Pre"
"269",12,36,3,3,3,0,0,"Pre"
"270",12,37,6,3,6,-3,0,"Pre"
"271",12,38,1,4,2,3,1,"Pre"
"272",12,39,8,5,6,-3,-2,"Pre"
"273",12,4,6,6,4,0,-2,"Pre"
"274",12,40,5,8,7,3,2,"Pre"
"275",12,41,5,5,7,0,2,"Pre"
"276",12,42,2,0,3,NA,1,"Pre"
"277",12,43,2,2,6,0,4,"Pre"
"278",12,44,4,4,2,0,-2,"Pre"
"279",12,45,6,3,5,-3,-1,"Pre"
"280",12,46,7,4,5,-3,-2,"Pre"
"281",12,47,8,0,8,NA,0,"Pre"
"282",12,48,5,0,3,NA,-2,"Pre"
"283",12,49,1,4,2,3,1,"Pre"
"284",12,5,6,3,5,-3,-1,"Pre"
"285",12,50,5,3,7,-2,2,"Pre"
"286",12,51,6,8,1,2,-5,"Pre"
"287",12,52,5,3,5,-2,0,"Pre"
"288",12,53,5,7,4,2,-1,"Pre"
"289",12,54,2,4,1,2,-1,"Pre"
"290",12,55,1,3,1,2,0,"Pre"
"291",12,56,8,5,8,-3,0,"Pre"
"292",12,57,1,4,1,3,0,"Pre"
"293",12,58,4,7,5,3,1,"Pre"
"294",12,59,7,4,8,-3,1,"Pre"
"295",12,6,3,0,3,NA,0,"Pre"
"296",12,60,2,4,2,2,0,"Pre"
"297",12,61,4,7,4,3,0,"Pre"
"298",12,62,1,3,1,2,0,"Pre"
"299",12,63,5,5,6,0,1,"Pre"
"300",12,64,2,0,4,NA,2,"Pre"
"301",12,65,7,4,8,-3,1,"Pre"
"302",12,66,6,6,4,0,-2,"Pre"
"303",12,67,7,7,8,0,1,"Pre"
"304",12,68,2,2,3,0,1,"Pre"
"305",12,69,6,8,7,2,1,"Pre"
"306",12,7,4,6,4,2,0,"Pre"
"307",12,70,7,5,6,-2,-1,"Pre"
"308",12,71,7,4,8,-3,1,"Pre"
"309",12,72,3,6,4,3,1,"Pre"
"310",12,73,3,0,3,NA,0,"Pre"
"311",12,74,8,5,7,-3,-1,"Pre"
"312",12,75,5,8,6,3,1,"Pre"
"313",12,76,8,5,8,-3,0,"Pre"
"314",12,77,6,4,4,-2,-2,"Pre"
"315",12,78,1,4,1,3,0,"Pre"
"316",12,79,8,8,8,0,0,"Pre"
"317",12,8,7,0,6,NA,-1,"Pre"
"318",12,80,5,2,8,-3,3,"Pre"
"319",12,81,2,4,2,2,0,"Pre"
"320",12,9,2,5,3,3,1,"Pre"
"321",13,10,6,4,4,-2,-2,"Pre"
"322",13,11,6,6,7,0,1,"Pre"
"323",13,12,5,8,6,3,1,"Pre"
"324",13,13,3,0,3,NA,0,"Pre"
"325",13,14,3,6,3,3,0,"Pre"
"326",13,15,3,3,4,0,1,"Pre"
"327",13,16,6,0,5,NA,-1,"Pre"
"328",13,17,6,6,7,0,1,"Pre"
"329",13,18,6,0,6,NA,0,"Pre"
"330",13,19,7,7,6,0,-1,"Pre"
"331",13,2,5,5,3,0,-2,"Pre"
"332",13,20,6,4,7,-2,1,"Pre"
"333",13,21,4,6,3,2,-1,"Pre"
"334",13,22,3,6,4,3,1,"Pre"
"335",13,23,5,7,6,2,1,"Pre"
"336",13,24,6,3,5,-3,-1,"Pre"
"337",13,25,5,0,4,NA,-1,"Pre"
"338",13,26,8,6,8,-2,0,"Pre"
"339",13,27,7,7,5,0,-2,"Pre"
"340",13,28,5,8,5,3,0,"Pre"
"341",13,29,7,5,6,-2,-1,"Pre"
"342",13,3,4,0,5,NA,1,"Pre"
"343",13,30,4,1,2,-3,-2,"Pre"
"344",13,31,7,4,7,-3,0,"Pre"
"345",13,32,5,0,5,NA,0,"Pre"
"346",13,33,3,5,4,2,1,"Pre"
"347",13,34,6,6,5,0,-1,"Pre"
"348",13,35,5,2,4,-3,-1,"Pre"
"349",13,36,2,5,3,3,1,"Pre"
"350",13,37,8,5,8,-3,0,"Pre"
"351",13,38,3,3,4,0,1,"Pre"
"352",13,39,4,7,3,3,-1,"Pre"
"353",13,4,6,8,7,2,1,"Pre"
"354",13,40,5,5,5,0,0,"Pre"
"355",13,41,4,7,4,3,0,"Pre"
